fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
gp,011102,天弘中证光伏产业指数A,2021-06-25,1.0533,1.0533,0.53,8.48,14.08,28,,,,,,5.33,0.10%,http://fund.eastmoney.com/011102.html
gp,011103,天弘中证光伏产业指数C,2021-06-25,1.0525,1.0525,0.53,8.48,14.07,27.93,,,,,,5.25,0.00%,http://fund.eastmoney.com/011103.html
gp,005628,汇安趋势动力股票A,2021-06-25,1.4972,1.4972,2.04,7.68,10.67,25.83,10.33,19.37,39.37,50.31,7.79,49.72,0.15%,http://fund.eastmoney.com/005628.html
gp,005629,汇安趋势动力股票C,2021-06-25,1.4695,1.4695,2.04,7.67,10.62,25.66,10.06,18.78,37.94,47.72,7.53,46.95,0.00%,http://fund.eastmoney.com/005629.html
gp,001576,国泰智能装备股票A,2021-06-25,2.6630,2.6630,1.41,7.34,12.13,29.15,8.12,60.04,167.37,131.57,7.16,166.30,0.15%,http://fund.eastmoney.com/001576.html
gp,011322,国泰智能装备股票C,2021-06-25,2.6580,2.6580,1.41,7.31,12.10,28.97,,,,,,-1.12,0.00%,http://fund.eastmoney.com/011322.html
gp,005669,前海开源公用事业股票,2021-06-25,2.2775,2.2775,0.76,7.14,28.44,61.62,35.82,126.30,123.13,129.82,37.08,127.75,0.15%,http://fund.eastmoney.com/005669.html
gp,005402,广发资源优选股票A,2021-06-25,2.1947,2.1947,2.97,7.12,3.85,17.08,12.25,57.03,125.79,131.24,12.89,119.47,0.15%,http://fund.eastmoney.com/005402.html
gp,010235,广发资源优选股票C,2021-06-25,2.1893,2.1893,2.96,7.11,3.82,16.96,12.03,,,,12.68,29.67,0.00%,http://fund.eastmoney.com/010235.html
gp,001158,工银新材料新能源股票,2021-06-25,1.5850,1.5850,1.99,6.95,7.38,21.83,15.44,83.24,143.47,150.79,14.36,58.50,0.15%,http://fund.eastmoney.com/001158.html
gp,011142,创金合信新材料新能源股票A,2021-06-25,1.23,1.23,1.80,6.92,15.34,36.33,,,,,22.91,23,0.15%,http://fund.eastmoney.com/011142.html
gp,011143,创金合信新材料新能源股票C,2021-06-25,1.2264,1.2264,1.80,6.90,15.27,36.13,,,,,22.55,22.64,0.00%,http://fund.eastmoney.com/011143.html
gp,005009,申万菱信行业轮动股票,2021-06-25,1.8492,1.8492,2.28,6.87,8.14,33.55,11.99,56.73,136.47,102.92,11.20,84.90,0.15%,http://fund.eastmoney.com/005009.html
gp,005802,添富智能制造股票,2021-06-25,1.9438,1.9438,1.42,6.85,14.87,33.25,19.21,54.49,89.71,96.20,14.40,94.38,0.15%,http://fund.eastmoney.com/005802.html
gp,168204,中融中证煤炭指数(LOF),2021-06-25,1.2730,1.2730,3.24,6.71,14.58,32.19,28.98,74.52,42.70,39.48,30.70,-3.68,0.00%,http://fund.eastmoney.com/168204.html
gp,011601,前海开源公共卫生股票A,2021-06-25,1.1505,1.1505,2.97,6.69,8.42,15.05,,,,,,15.05,0.15%,http://fund.eastmoney.com/011601.html
gp,011602,前海开源公共卫生股票C,2021-06-25,1.1493,1.1493,2.97,6.67,8.37,14.93,,,,,,14.93,0.00%,http://fund.eastmoney.com/011602.html
gp,005968,创金合信工业周期股票A,2021-06-25,3.4245,3.4245,1.89,6.46,11.26,28.43,21.87,127.18,266.88,280.71,21.74,242.45,0.15%,http://fund.eastmoney.com/005968.html
gp,005969,创金合信工业周期股票C,2021-06-25,3.3545,3.3545,1.89,6.45,11.20,28.21,21.45,125.62,261.75,273.18,21.33,235.45,0.00%,http://fund.eastmoney.com/005969.html
gp,161032,富国中证煤炭指数(LOF),2021-06-25,1.4050,0.9790,3.23,6.44,14.04,30.70,29.85,77.83,53.69,55.69,32.30,-2.11,0.00%,http://fund.eastmoney.com/161032.html
gp,001245,工银生态环境股票,2021-06-25,2.0040,2.0040,1.42,6.37,16.24,37.73,12.14,92.14,206.42,205.95,12.02,100.40,0.15%,http://fund.eastmoney.com/001245.html
gp,005209,东吴双三角股票A,2021-06-25,1.3523,1.3523,3.36,6.31,3.29,14.20,4.03,10.68,59.56,69.72,0.01,35.23,0.15%,http://fund.eastmoney.com/005209.html
gp,005210,东吴双三角股票C,2021-06-25,1.3259,1.3259,3.37,6.30,3.25,14.07,3.77,10.13,57.98,67.20,-0.23,32.59,0.00%,http://fund.eastmoney.com/005210.html
gp,008279,国泰中证煤炭ETF联接A,2021-06-25,1.6939,1.6939,3.22,6.28,14,31.40,30.67,75.86,,,32.97,69.39,0.10%,http://fund.eastmoney.com/008279.html
gp,005661,嘉实资源精选股票C,2021-06-25,2.51,2.51,1.86,6.27,8.83,17.46,16.61,89.03,131.32,,13.52,151,0.00%,http://fund.eastmoney.com/005661.html
gp,005660,嘉实资源精选股票A,2021-06-25,2.5415,2.5415,1.86,6.27,8.87,17.61,16.89,89.96,133.29,,13.78,154.15,0.15%,http://fund.eastmoney.com/005660.html
gp,008280,国泰中证煤炭ETF联接C,2021-06-25,1.6869,1.6869,3.21,6.27,13.96,31.30,30.47,75.35,,,32.77,68.69,0.00%,http://fund.eastmoney.com/008280.html
gp,008085,海富通先进制造股票A,2021-06-25,1.1314,1.1314,1.44,6.23,12.43,17.40,0.42,6.85,,,-5.47,13.14,0.15%,http://fund.eastmoney.com/008085.html
gp,008084,海富通先进制造股票C,2021-06-25,1.1246,1.1246,1.44,6.22,12.39,17.29,0.22,6.43,,,-5.65,12.46,0.00%,http://fund.eastmoney.com/008084.html
gp,006692,金信消费升级股票A,2021-06-25,2.2534,2.4986,2.60,6.19,9.31,33.03,15.27,52.90,137.23,,13.54,167.62,0.15%,http://fund.eastmoney.com/006692.html
gp,006693,金信消费升级股票C,2021-06-25,2.3463,2.5508,2.60,6.17,9.24,32.75,14.81,51.68,133.51,,13.10,162.60,0.00%,http://fund.eastmoney.com/006693.html
gp,164905,交银新能源指数(LOF),2021-06-25,1.3170,1.3832,1.46,6.04,15.33,37.12,15.90,76.65,120.38,107.59,16.29,38.32,0.12%,http://fund.eastmoney.com/164905.html
gp,160634,鹏华中证环保产业指数(LOF),2021-06-25,1.3920,1.01,1.02,6.02,14,30.95,19.28,69.82,92.88,74.80,18.77,6.06,0.12%,http://fund.eastmoney.com/160634.html
gp,168203,中融国证钢铁行业指数(LOF),2021-06-25,1.2180,1.2180,2.10,6.01,3.31,14.04,29.30,47.62,35.73,4.61,30.97,-47.79,0.00%,http://fund.eastmoney.com/168203.html
gp,163114,申万菱信中证环保产业指数(LOF)A,2021-06-25,1.4391,2.4989,0.99,5.91,13.01,30.68,21.05,77.71,113.19,96.95,20.31,109.97,0.12%,http://fund.eastmoney.com/163114.html
gp,010419,申万菱信中证环保产业指数(LOF)C,2021-06-25,1.4006,1.4006,0.99,5.91,12.98,30.58,20.87,,,,20.13,40.06,0.00%,http://fund.eastmoney.com/010419.html
gp,502023,鹏华国证钢铁行业指数(LOF),2021-06-25,1.7080,1.1860,2.03,5.89,2.95,14.40,28.71,52.87,42.57,27.62,30.48,21.84,0.12%,http://fund.eastmoney.com/502023.html
