code,fund_type,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
213003,hh,宝盈策略增长混合,2021-11-12,1.5559,2.5779,2.74,5.19,21.67,9.23,37.62,27.39,89.7,134.65,19.37,234.24,0.15%,http://fund.eastmoney.com/213003.html
000828,gp,泰达转型机遇股票A,2021-11-12,3.971,4.191,0.99,-1.63,21.62,8.44,84.44,116.99,280.36,479.71,76.02,377.18,0.12%,http://fund.eastmoney.com/000828.html
000596,gp,前海开源中证军工指数A,2021-11-12,2.541,2.541,3.67,8.04,21.58,10.62,50.27,46.79,117.18,140.17,18.41,154.1,0.12%,http://fund.eastmoney.com/000596.html
002199,gp,前海开源中证军工指数C,2021-11-12,1.291,2.251,3.69,8.03,21.56,10.53,50.12,46.37,116.25,138.19,18.12,27.62,0.12%,http://fund.eastmoney.com/002199.html
004698,gp,博时军工主题股票A,2021-11-12,2.382,2.382,3.93,8.87,21.47,7.06,51.33,52.2,160.9,191.2,17.4,138.2,0.15%,http://fund.eastmoney.com/004698.html
164402,gp,前海开源中航军工指数,2021-11-12,1.338,1.338,3.64,8.25,21.31,9.76,50.51,54.15,109.91,133.87,17.47,38.12,0.12%,http://fund.eastmoney.com/164402.html
162201,hh,泰达宏利成长混合,2021-11-12,2.7943,5.1908,0.62,-1.1,21.18,9.5,79.25,63.61,127.25,211.48,66.07,1984.57,0.15%,http://fund.eastmoney.com/162201.html
004390,hh,平安转型创新混合A,2021-11-12,3.7441,3.8341,1.32,3.56,21.17,13.92,84.86,97.31,222.1,354.27,75.03,307.64,0.15%,http://fund.eastmoney.com/004390.html
004391,hh,平安转型创新混合C,2021-11-12,3.6433,3.7283,1.32,3.54,21.09,13.7,84.13,95.75,216.97,346.92,73.84,294.94,0.00%,http://fund.eastmoney.com/004391.html
001574,hh,中海混改红利混合,2021-11-12,2.229,2.229,-0.45,6.65,21.08,9.0,25.86,38.53,83.91,165.36,28.1,122.9,0.15%,http://fund.eastmoney.com/001574.html
160630,gp,鹏华国防A,2021-11-12,1.551,1.419,3.61,8.08,21.08,6.74,47.71,46.61,122.39,133.61,12.07,46.27,0.12%,http://fund.eastmoney.com/160630.html
001475,hh,易方达国防军工混合,2021-11-12,2.15,2.15,3.71,7.34,20.99,8.92,62.14,68.23,185.9,206.27,35.99,115.0,0.15%,http://fund.eastmoney.com/001475.html
002281,hh,建信裕利灵活配置混合,2021-11-12,2.6066,2.6066,1.92,4.09,20.94,10.44,46.51,59.53,142.97,200.33,42.24,160.66,0.15%,http://fund.eastmoney.com/002281.html
001838,hh,国投瑞银国家安全混合,2021-11-12,1.524,1.524,3.6,7.48,20.86,13.22,47.96,56.79,133.38,137.01,14.93,52.4,0.15%,http://fund.eastmoney.com/001838.html
020022,hh,国泰策略价值灵活配置混合,2021-11-12,3.088,3.088,2.86,6.7,20.81,8.24,51.67,48.25,90.85,151.26,43.1,257.66,0.12%,http://fund.eastmoney.com/020022.html
700003,hh,平安策略先锋混合,2021-11-12,6.563,6.663,1.28,3.6,20.75,13.43,83.89,98.46,228.48,391.61,75.81,618.11,0.15%,http://fund.eastmoney.com/700003.html
005412,hh,金信民长混合A,2021-11-12,2.2881,2.2881,1.42,0.88,20.66,3.58,40.77,97.32,,,61.55,128.81,0.08%,http://fund.eastmoney.com/005412.html
005413,hh,金信民长混合C,2021-11-12,2.1742,2.1742,1.42,0.88,20.65,3.55,40.71,97.15,,,61.43,117.42,0.00%,http://fund.eastmoney.com/005413.html
008638,hh,广发科技创新混合A,2021-11-12,2.1682,2.1682,1.25,4.85,20.63,5.8,43.8,64.15,,,59.85,116.82,0.15%,http://fund.eastmoney.com/008638.html
005939,hh,工银新能源汽车混合A,2021-11-12,4.7602,4.7602,1.79,4.48,20.45,11.29,81.93,108.46,321.93,,71.5,376.02,0.15%,http://fund.eastmoney.com/005939.html
005940,hh,工银新能源汽车混合C,2021-11-12,4.6611,4.6611,1.79,4.47,20.41,11.17,81.56,107.63,318.64,,70.9,366.11,0.00%,http://fund.eastmoney.com/005940.html
660015,hh,农银行业轮动混合,2021-11-12,8.0482,8.1482,0.96,3.52,20.29,13.73,47.33,53.14,160.06,228.66,40.97,771.01,0.15%,http://fund.eastmoney.com/660015.html
008980,hh,中邮科技创新精选混合A,2021-11-12,2.3425,2.3425,2.01,6.09,20.24,13.16,65.14,65.48,,,46.58,134.25,0.12%,http://fund.eastmoney.com/008980.html
550009,hh,信诚中小盘混合,2021-11-12,6.047,6.177,0.57,3.86,20.22,10.01,67.88,93.44,265.82,400.99,70.53,583.25,0.15%,http://fund.eastmoney.com/550009.html
008981,hh,中邮科技创新精选混合C,2021-11-12,2.3305,2.3305,2.01,6.09,20.21,13.08,64.89,64.97,,,46.2,133.05,0.00%,http://fund.eastmoney.com/008981.html
005609,hh,富国军工主题混合A,2021-11-12,2.4105,2.4105,2.61,7.35,20.21,4.25,37.12,48.97,149.35,190.6,16.08,141.05,0.15%,http://fund.eastmoney.com/005609.html
008961,hh,华商科技创新混合,2021-11-12,1.9612,1.9612,1.32,4.01,20.13,5.69,55.81,60.1,,,36.87,96.12,0.15%,http://fund.eastmoney.com/008961.html
008185,hh,诺安研究优选混合,2021-11-12,1.4991,1.4991,1.99,1.09,20.05,5.46,18.75,26.07,,,20.59,49.91,0.15%,http://fund.eastmoney.com/008185.html
001956,gp,国联安科技动力,2021-11-12,2.711,2.711,-0.24,5.14,20.04,5.46,43.01,45.31,132.88,268.24,33.08,171.1,0.15%,http://fund.eastmoney.com/001956.html
200015,hh,长城优化升级混合A,2021-11-12,5.5228,5.6378,1.87,5.62,19.99,11.79,54.64,70.6,166.36,253.48,57.09,518.04,0.15%,http://fund.eastmoney.com/200015.html
470021,hh,汇添富优选回报灵活配置混合A,2021-11-12,2.307,2.307,0.87,0.83,19.97,5.01,20.79,31.53,101.13,139.56,23.97,130.7,0.15%,http://fund.eastmoney.com/470021.html
002418,hh,汇添富优选回报灵活配置混合C,2021-11-12,2.291,2.291,0.88,0.84,19.95,4.95,20.58,31.06,99.39,136.67,23.57,129.1,0.00%,http://fund.eastmoney.com/002418.html
000039,hh,农银高增长混合,2021-11-12,4.7771,4.7771,0.77,4.81,19.92,14.03,64.59,57.72,148.19,205.32,43.71,377.71,0.15%,http://fund.eastmoney.com/000039.html
502003,gp,易方达中证军工(LOF)A,2021-11-12,1.6792,1.0702,3.54,7.63,19.75,8.78,44.48,42.47,122.45,146.9,15.12,11.06,0.10%,http://fund.eastmoney.com/502003.html
200001,hh,长城久恒灵活配置混合,2021-11-12,3.0307,4.4727,1.04,6.33,19.69,3.71,59.56,48.6,123.42,173.9,37.04,817.05,0.12%,http://fund.eastmoney.com/200001.html
257070,hh,国联安优选行业混合,2021-11-12,4.3372,4.6382,-0.27,5.22,19.65,5.54,42.25,43.4,136.3,271.21,31.99,434.4,0.15%,http://fund.eastmoney.com/257070.html
161024,gp,富国中证军工指数(LOF)A,2021-11-12,1.418,1.882,3.5,7.59,19.56,8.41,42.94,39.52,92.9,106.47,13.35,115.32,0.12%,http://fund.eastmoney.com/161024.html
