fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
gp,006817,泰康港股通地产指数C,2021-11-12,0.8124,0.8124,-0.45,7.25,-1.17,-8.56,-16.58,-16.83,-19.89,,-10.68,-18.76,0.00%,http://fund.eastmoney.com/006817.html
gp,011229,创金合信数字经济主题股票A,2021-11-12,1.5316,1.5316,2.93,7.06,15.21,10.54,41.54,,,,,53.16,0.15%,http://fund.eastmoney.com/011229.html
gp,011230,创金合信数字经济主题股票C,2021-11-12,1.5254,1.5254,2.92,7.05,15.16,10.41,41.19,,,,,52.54,0.00%,http://fund.eastmoney.com/011230.html
gp,002332,汇丰晋信沪港深A,2021-11-12,1.8181,1.8731,2.34,6.88,6.97,0.94,-1.98,8.32,50.09,87.65,-5.35,91.14,0.15%,http://fund.eastmoney.com/002332.html
gp,002333,汇丰晋信沪港深C,2021-11-12,1.7657,1.8207,2.34,6.87,6.92,0.81,-2.23,7.79,48.60,84.74,-5.75,85.74,0.00%,http://fund.eastmoney.com/002333.html
gp,002595,博时工业4.0主题股票,2021-11-12,2.6780,2.6780,1.06,6.74,16.49,4.04,23.41,29.25,100,168.88,13.33,167.80,0.15%,http://fund.eastmoney.com/002595.html
gp,001178,前海开源再融资股票,2021-11-12,1.3990,1.9790,-0.43,6.71,0.14,-0.78,-7.29,-9.59,22.77,82.15,-10.55,109.29,0.15%,http://fund.eastmoney.com/001178.html
gp,001583,安信新常态股票A,2021-11-12,1.4659,1.7975,-0.59,6.64,-2.19,1.12,0.22,3.96,40.90,74.84,6.61,96.60,0.15%,http://fund.eastmoney.com/001583.html
gp,501019,国泰国证航天军工指数,2021-11-12,1.5917,1.5917,3.04,6.56,16.68,8.70,44.86,44.54,107.71,147.08,19.33,59.17,0.12%,http://fund.eastmoney.com/501019.html
gp,008618,永赢医药健康A,2021-11-12,1.1923,1.1923,1.20,6.40,6.80,3.95,2.75,3.95,,,2.05,19.23,0.15%,http://fund.eastmoney.com/008618.html
gp,008619,永赢医药健康C,2021-11-12,1.1888,1.1888,1.20,6.40,6.78,3.91,2.64,3.74,,,1.88,18.88,0.00%,http://fund.eastmoney.com/008619.html
gp,013413,交银中证环境治理(LOF)C,2021-11-12,0.5450,0.5450,0.41,5.85,2.35,,,,,,,3.97,0.00%,http://fund.eastmoney.com/013413.html
gp,164908,交银中证环境治理(LOF)A,2021-11-12,0.5451,0.5451,0.39,5.84,2.35,6.46,9.68,3.24,9.90,5.03,11.02,-45.49,0.12%,http://fund.eastmoney.com/164908.html
gp,009126,嘉实基础产业优选股票A,2021-11-12,1.3967,1.3967,1.22,5.83,0.04,7.61,-0.29,16.05,,,12.82,39.67,0.15%,http://fund.eastmoney.com/009126.html
gp,009127,嘉实基础产业优选股票C,2021-11-12,1.3858,1.3858,1.23,5.82,0,7.48,-0.55,15.48,,,12.33,38.58,0.00%,http://fund.eastmoney.com/009127.html
gp,501030,汇添富中证环境治理指数A,2021-11-12,0.6227,0.6227,0.40,5.81,2.32,6.70,11.63,5.26,14.93,14.28,13.18,-37.73,0.12%,http://fund.eastmoney.com/501030.html
gp,501031,汇添富中证环境治理指数C,2021-11-12,0.6176,0.6176,0.41,5.81,2.30,6.59,11.42,4.84,14.05,13.28,12.78,-38.24,0.00%,http://fund.eastmoney.com/501031.html
gp,001167,金鹰科技创新股票,2021-11-12,1.47,1.47,0.82,5.68,10.11,1.10,34.37,44.69,119.08,174.25,31.84,47,0.15%,http://fund.eastmoney.com/001167.html
gp,005662,嘉实金融精选股票A,2021-11-12,1.4418,1.4418,-0.44,5.57,1.27,3.52,-2.55,2.71,15.64,45.39,1.34,44.18,0.15%,http://fund.eastmoney.com/005662.html
gp,005663,嘉实金融精选股票C,2021-11-12,1.4153,1.4153,-0.44,5.56,1.23,3.38,-2.80,2.20,14.46,43.25,0.90,41.53,0.00%,http://fund.eastmoney.com/005663.html
gp,006081,海富通电子传媒股票A,2021-11-12,3.6831,3.6831,0.87,5.51,22.44,9.20,72.79,76.15,186.73,,62.26,268.31,0.15%,http://fund.eastmoney.com/006081.html
gp,006080,海富通电子传媒股票C,2021-11-12,3.5669,3.5669,0.87,5.50,22.36,8.98,72.11,74.75,182.64,,61.15,256.69,0.00%,http://fund.eastmoney.com/006080.html
gp,580008,东吴新产业精选股票A,2021-11-12,3.7424,3.7424,1.17,5.35,9.83,0.46,14.58,20.02,89.87,165.23,8.54,274.24,0.15%,http://fund.eastmoney.com/580008.html
gp,011470,东吴新产业精选股票C,2021-11-12,3.7359,3.7359,1.17,5.35,9.79,0.40,14.40,,,,,5.04,0.00%,http://fund.eastmoney.com/011470.html
gp,003232,创金合信金融地产A,2021-11-12,1.1083,1.2026,-0.44,5.27,-0.52,1.78,-3.65,0.78,13.80,38.17,-6.46,20.26,0.15%,http://fund.eastmoney.com/003232.html
gp,003233,创金合信金融地产C,2021-11-12,1.0841,1.1876,-0.44,5.26,-0.58,1.61,-3.99,0.09,12.24,35.21,-7.02,18.76,0.00%,http://fund.eastmoney.com/003233.html
gp,001105,信达澳银转型创新股票,2021-11-12,1.2220,1.2220,0.25,5.25,7.76,-7.28,5.80,10.59,72.84,101.98,-0.81,22.20,0.15%,http://fund.eastmoney.com/001105.html
gp,005777,广发科技动力股票,2021-11-12,1.9992,1.9992,1.28,5.23,6.40,-1.22,1.79,-2.24,58.29,126.74,-6.98,99.92,0.15%,http://fund.eastmoney.com/005777.html
gp,005310,广发电子信息传媒股票A,2021-11-12,2.2363,2.2363,0.80,5.21,20.22,0.12,29.42,31.23,116.03,209.74,25.57,123.63,0.15%,http://fund.eastmoney.com/005310.html
gp,010236,广发电子信息传媒股票C,2021-11-12,2.2288,2.2288,0.80,5.20,20.18,0.02,29.17,30.74,,,25.16,33.41,0.00%,http://fund.eastmoney.com/010236.html
