fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
gp,009954,北信瑞丰优选成长,2021-06-18,1.4135,1.4135,1.44,9.58,22,25.68,35.48,,,,22.68,41.35,0.15%,http://fund.eastmoney.com/009954.html
gp,008282,国泰CES半导体芯片行业ETF联接C,2021-06-18,1.8021,1.8021,1.29,8.12,20.44,27.39,17.36,32.48,,,15.63,80.21,0.00%,http://fund.eastmoney.com/008282.html
gp,008281,国泰CES半导体芯片行业ETF联接A,2021-06-18,1.8105,1.8105,1.29,8.12,20.47,27.49,17.54,32.87,,,15.78,81.05,0.10%,http://fund.eastmoney.com/008281.html
gp,004616,中欧电子信息产业沪港深股票A,2021-06-18,2.6317,2.6317,0.74,7.68,21.39,25.53,22.67,47.06,137.13,178.43,17.61,163.17,0.15%,http://fund.eastmoney.com/004616.html
gp,005763,中欧电子信息产业沪港深股票C,2021-06-18,2.7348,2.7348,0.74,7.67,21.30,25.28,22.18,45.90,133.30,174.52,17.18,149.78,0.00%,http://fund.eastmoney.com/005763.html
gp,001404,招商移动互联网产业股票基金,2021-06-18,1.4050,1.4050,1.89,7.58,24.34,30.82,17.08,27.50,105.11,84.38,14.60,40.50,0.15%,http://fund.eastmoney.com/001404.html
gp,007301,国联安中证半导体ETF联接C,2021-06-18,2.3209,2.3209,0.98,6.94,21.15,33.58,15.19,24.61,,,13.97,132.07,0.00%,http://fund.eastmoney.com/007301.html
gp,007300,国联安中证半导体ETF联接A,2021-06-18,2.3380,2.3380,0.98,6.94,21.17,33.66,15.33,24.93,,,14.09,133.78,0.08%,http://fund.eastmoney.com/007300.html
gp,008887,华夏国证半导体芯片ETF联接A,2021-06-18,1.2801,1.2801,0.78,6.70,19.84,27.15,19.48,29.22,,,16.71,28.01,0.12%,http://fund.eastmoney.com/008887.html
gp,008888,华夏国证半导体芯片ETF联接C,2021-06-18,1.2761,1.2761,0.78,6.70,19.80,27.05,19.30,28.83,,,16.55,27.61,0.00%,http://fund.eastmoney.com/008888.html
gp,010003,景顺长城电子信息产业股票A,2021-06-18,1.1885,1.1885,1.37,4.57,16.73,23.58,10.91,,,,7.43,18.85,0.15%,http://fund.eastmoney.com/010003.html
