code,name,fund_type,label,time,stock_code,stock_name,stock_proportion,stock_amount,stock_value
001072,华安智能装备主题股票,gp,2021年1季度股票投资明细,2021-03-31,	688036,传音控股,4.54%,12.53,"2,622.84"
001072,华安智能装备主题股票,gp,2021年1季度股票投资明细,2021-03-31,	002415,海康威视,3.97%,41.08,"2,296.49"
001072,华安智能装备主题股票,gp,2021年1季度股票投资明细,2021-03-31,	002236,大华股份,3.60%,84.31,"2,079.99"
001072,华安智能装备主题股票,gp,2021年1季度股票投资明细,2021-03-31,	002214,大立科技,3.43%,85.84,"1,983.76"
001072,华安智能装备主题股票,gp,2021年1季度股票投资明细,2021-03-31,	603501,韦尔股份,3.14%,7.06,"1,812.57"
001072,华安智能装备主题股票,gp,2021年1季度股票投资明细,2021-03-31,	600138,中青旅,3.05%,137.78,"1,763.58"
001072,华安智能装备主题股票,gp,2021年1季度股票投资明细,2021-03-31,	300782,卓胜微,3.05%,2.89,"1,760.01"
001072,华安智能装备主题股票,gp,2021年1季度股票投资明细,2021-03-31,	300613,富瀚微,2.88%,11.12,"1,664.64"
001072,华安智能装备主题股票,gp,2021年1季度股票投资明细,2021-03-31,	300750,宁德时代,2.83%,5.08,"1,636.62"
001072,华安智能装备主题股票,gp,2021年1季度股票投资明细,2021-03-31,	600966,博汇纸业,2.78%,95.49,"1,607.10"
004683,建信高端医疗股票,gp,2021年1季度股票投资明细,2021-03-31,	000739,普洛药业,6.65%,50.29,"1,430.75"
004683,建信高端医疗股票,gp,2021年1季度股票投资明细,2021-03-31,	300759,康龙化成,6.44%,9.25,"1,386.03"
004683,建信高端医疗股票,gp,2021年1季度股票投资明细,2021-03-31,	002821,凯莱英,5.98%,4.45,"1,285.82"
004683,建信高端医疗股票,gp,2021年1季度股票投资明细,2021-03-31,	603259,药明康德,5.72%,8.77,"1,229.55"
004683,建信高端医疗股票,gp,2021年1季度股票投资明细,2021-03-31,	300363,博腾股份,5.59%,22.78,"1,203.01"
