,fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
2483,hh,002256,金信行业优选混合发起式,2021-06-25,2.263,2.263,1.43,3.48,20.56,44.32,27.13,67.13,161.62,159.22,24.14,126.3,0.15%,http://fund.eastmoney.com/002256.html
2436,hh,005939,工银新能源汽车混合A,2021-06-25,3.3053,3.3053,1.35,3.55,13.3,44.24,19.07,97.64,216.3,,19.08,230.53,0.15%,http://fund.eastmoney.com/005939.html
2438,hh,005940,工银新能源汽车混合C,2021-06-25,3.2415,3.2415,1.34,3.55,13.27,44.1,18.83,96.85,213.52,,18.85,224.15,0.00%,http://fund.eastmoney.com/005940.html
264,gp,010805,东财新能源车A,2021-06-25,1.302,1.302,1.66,3.7,16.37,43.88,25.53,,,,23.65,30.2,0.12%,http://fund.eastmoney.com/010805.html
335,gp,004925,长信低碳环保行业量化股票,2021-06-25,2.2714,2.2714,2.2,3.53,16.42,43.81,24.57,102.88,168.14,165.6,20.95,127.14,0.15%,http://fund.eastmoney.com/004925.html
263,gp,010806,东财新能源车C,2021-06-25,1.2992,1.2992,1.64,3.7,16.33,43.73,25.27,,,,23.4,29.92,0.00%,http://fund.eastmoney.com/010806.html
1575,hh,167001,平安鼎泰混合(LOF),2021-06-25,1.6651,1.6651,0.92,6.99,18.78,43.68,24.21,62.72,140.8,141.99,23.81,66.51,0.15%,http://fund.eastmoney.com/167001.html
3388,hh,002190,农银新能源主题,2021-06-25,3.3366,3.3366,1.05,2.55,17.81,43.5,20.33,134.61,305.62,232.03,19.63,233.66,0.15%,http://fund.eastmoney.com/002190.html
2719,hh,006250,上投摩根动力精选,2021-06-25,3.0026,3.0026,0.95,3.22,17.92,43.41,18.63,97.09,217.7,,17.84,200.26,0.15%,http://fund.eastmoney.com/006250.html
2119,hh,001156,申万菱信新能源汽车混合,2021-06-25,2.819,2.819,1.48,3.98,12.94,43.24,18.35,100.64,245.47,207.08,17.02,181.9,0.15%,http://fund.eastmoney.com/001156.html
1574,hh,003567,华夏行业景气混合,2021-06-25,2.8966,2.8966,0.26,7.0,22.38,42.89,31.35,83.68,144.56,179.0,31.65,189.66,0.15%,http://fund.eastmoney.com/003567.html
439,gp,003834,华夏能源革新股票,2021-06-25,3.294,3.294,1.17,3.32,13.16,42.29,25.1,130.51,241.7,240.64,21.86,229.4,0.15%,http://fund.eastmoney.com/003834.html
3427,hh,007306,华泰柏瑞基本面智选A,2021-06-25,2.8863,2.8863,2.21,2.52,8.87,42.2,22.39,72.21,186.97,,19.26,188.63,0.15%,http://fund.eastmoney.com/007306.html
2100,hh,005119,银华智荟内在价值灵活配置,2021-06-25,2.1109,2.1109,2.23,4.03,8.95,42.19,24.0,61.13,146.28,175.9,19.22,111.09,0.15%,http://fund.eastmoney.com/005119.html
3428,hh,007307,华泰柏瑞基本面智选C,2021-06-25,2.8595,2.8595,2.2,2.52,8.84,42.11,22.24,71.77,184.33,,19.12,185.95,0.00%,http://fund.eastmoney.com/007307.html
1579,hh,160805,长盛同智优势混合(LOF),2021-06-25,1.4069,3.0375,1.27,6.87,14.47,41.88,19.42,44.47,103.3,91.34,16.56,165.78,0.15%,http://fund.eastmoney.com/160805.html
1618,hh,001951,金鹰改革红利混合,2021-06-25,3.07,3.07,2.68,5.97,13.08,41.87,39.36,123.27,204.26,199.51,39.55,207.0,0.15%,http://fund.eastmoney.com/001951.html
3584,hh,010345,华泰柏瑞成长智选混合A,2021-06-25,1.2191,1.2191,2.26,2.35,7.1,41.82,14.9,,,,13.05,21.91,0.15%,http://fund.eastmoney.com/010345.html
1631,hh,210008,金鹰策略配置混合,2021-06-25,2.9428,3.5428,2.58,5.88,12.04,41.67,32.28,62.8,191.02,171.15,30.2,322.37,0.15%,http://fund.eastmoney.com/210008.html
228,gp,501057,汇添富中证新能源汽车A,2021-06-25,2.6027,2.6027,1.82,3.84,16.17,41.63,23.91,113.41,216.4,164.18,21.79,160.27,0.12%,http://fund.eastmoney.com/501057.html
3592,hh,010346,华泰柏瑞成长智选混合C,2021-06-25,1.2155,1.2155,2.25,2.34,7.05,41.63,14.6,,,,12.77,21.55,0.00%,http://fund.eastmoney.com/010346.html
229,gp,501058,汇添富中证新能源汽车C,2021-06-25,2.5798,2.5798,1.82,3.84,16.14,41.55,23.76,112.89,214.8,162.02,21.65,157.98,0.00%,http://fund.eastmoney.com/501058.html
1644,hh,004390,平安转型创新混合A,2021-06-25,2.6082,2.6982,0.42,5.69,19.14,41.54,23.7,63.47,150.88,169.64,21.93,183.97,0.15%,http://fund.eastmoney.com/004390.html
2450,hh,519918,华夏兴和混合,2021-06-25,3.517,5.687,0.46,3.53,13.27,41.42,30.31,72.15,157.09,145.09,27.66,251.7,0.15%,http://fund.eastmoney.com/519918.html
